,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
715,5311.0,Retail and wholesale trade,Department Stores,#FF9BCD,5311.0,1132.0,0.001591669326479219,0.16,Department Stores (0.16%)
978,9121.0,Public Administration,Legislative Bodies,#CD7CA4,9121.0,1125.0,0.0015818268483119447,0.16,Legislative Bodies (0.16%)
93,1542.0,Construction,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses",#696969,1542.0,1094.0,0.0015382387307140155,0.15,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses (0.15%)"
956,8621.0,Services,Professional Membership Organizations,#FF0069,8621.0,1094.0,0.0015382387307140155,0.15,Professional Membership Organizations (0.15%)
976,8999.0,Services,"Services, Not Elsewhere Classified",#FF0069,8999.0,1074.0,0.0015101173645218032,0.15,"Services, Not Elsewhere Classified (0.15%)"
608,4581.0,"Transportation, Communications, Electric, Gas, And Sanitary Services","Airports, Flying Fields, and Airport Terminal Services",#C3FF00,4581.0,1072.0,0.001507305227902582,0.15,"Airports, Flying Fields, and Airport Terminal Services (0.15%)"
994,9531.0,Public Administration,Administration of Housing Programs,#CD7CA4,9531.0,1061.0,0.001491838476496865,0.15,Administration of Housing Programs (0.15%)
725,5511.0,Retail and wholesale trade,Motor Vehicle Dealers (New and Used),#FF9BCD,5511.0,1044.0,0.0014679353152334846,0.15,Motor Vehicle Dealers (New and Used) (0.15%)
90,1522.0,Construction,"General Contractors-Residential Buildings, Other Than Single-Family",#696969,1522.0,1017.0,0.001429971470873998,0.14,"General Contractors-Residential Buildings, Other Than Single-Family (0.14%)"
734,5621.0,Retail and wholesale trade,Women's Clothing Stores,#FF9BCD,5621.0,988.0,0.00138919548989529,0.14,Women's Clothing Stores (0.14%)
791,6162.0,"Finance, Insurance, And Real Estate",Mortgage Bankers and Loan Correspondents,#FFFF00,6162.0,987.0,0.0013877894215856795,0.14,Mortgage Bankers and Loan Correspondents (0.14%)
818,6719.0,"Finance, Insurance, And Real Estate","Offices of Holding Companies, Not Elsewhere Classified",#FFFF00,6719.0,966.0,0.0013582619870838564,0.14,"Offices of Holding Companies, Not Elsewhere Classified (0.14%)"
993,9512.0,Public Administration,"Land, Mineral, Wildlife, and Forest Conservation",#CD7CA4,9512.0,964.0,0.0013554498504646352,0.14,"Land, Mineral, Wildlife, and Forest Conservation (0.14%)"
774,6011.0,"Finance, Insurance, And Real Estate",Federal Reserve Banks,#FFFF00,6011.0,950.0,0.0013357648941300867,0.13,Federal Reserve Banks (0.13%)
880,7514.0,Services,Passenger Car Rental,#FF0069,7514.0,927.0,0.0013034253230090425,0.13,Passenger Car Rental (0.13%)
988,9411.0,Public Administration,Administration of Educational Programs,#CD7CA4,9411.0,904.0,0.0012710857518879982,0.13,Administration of Educational Programs (0.13%)
954,8422.0,Services,Arboreta and Botanical or Zoological Gardens,#FF0069,8422.0,879.0,0.0012359340441477327,0.12,Arboreta and Botanical or Zoological Gardens (0.12%)
957,8631.0,Services,Labor Unions and Similar Labor Organizations,#FF0069,8631.0,872.0,0.0012260915659804584,0.12,Labor Unions and Similar Labor Organizations (0.12%)
933,8071.0,Services,Medical Laboratories,#FF0069,8071.0,864.0,0.0012148430195035736,0.12,Medical Laboratories (0.12%)
746,5734.0,Retail and wholesale trade,Computer and Computer Software Stores,#FF9BCD,5734.0,848.0,0.0011923459265498037,0.12,Computer and Computer Software Stores (0.12%)
576,4111.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Local and Suburban Transit,#C3FF00,4111.0,828.0,0.0011642245603575912,0.12,Local and Suburban Transit (0.12%)
926,8049.0,Services,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified",#FF0069,8049.0,826.0,0.00116141242373837,0.12,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified (0.12%)"
593,4311.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",United States Postal Service,#C3FF00,4311.0,822.0,0.0011557881504999277,0.12,United States Postal Service (0.12%)
797,6289.0,"Finance, Insurance, And Real Estate","Services Allied With the Exchange of Securities or Commodities, Not Elsewhere Classified",#FFFF00,6289.0,806.0,0.0011332910575461578,0.11,"Services Allied With the Exchange of Securities or Commodities, Not Elsewhere Classified (0.11%)"
92,1541.0,Construction,General Contractors-Industrial Buildings and Warehouses,#696969,1541.0,773.0,0.0010868908033290073,0.11,General Contractors-Industrial Buildings and Warehouses (0.11%)
100,1731.0,Construction,Electrical Work,#696969,1731.0,771.0,0.0010840786667097862,0.11,Electrical Work (0.11%)
612,4724.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Travel Agencies,#C3FF00,4724.0,769.0,0.0010812665300905648,0.11,Travel Agencies (0.11%)
590,4225.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",General Warehousing and Storage,#C3FF00,4225.0,693.0,0.0009744053385601579,0.1,General Warehousing and Storage (0.1%)
151,2082.0,Manufacturing,Malt Beverages,#0072FF,2082.0,662.0,0.0009308172209622288,0.09,Malt Beverages (0.09%)
740,5712.0,Retail and wholesale trade,Furniture Stores,#FF9BCD,5712.0,660.0,0.0009280050843430076,0.09,Furniture Stores (0.09%)
919,7999.0,Services,"Amusement and Recreation Services, Not Elsewhere Classified",#FF0069,7999.0,659.0,0.0009265990160333969,0.09,"Amusement and Recreation Services, Not Elsewhere Classified (0.09%)"
955,8611.0,Services,Business Associations,#FF0069,8611.0,651.0,0.0009153504695565119,0.09,Business Associations (0.09%)
623,4832.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Radio Broadcasting Stations,#C3FF00,4832.0,640.0,0.0008998837181507952,0.09,Radio Broadcasting Stations (0.09%)
601,4491.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Marine Cargo Handling,#C3FF00,4491.0,640.0,0.0008998837181507952,0.09,Marine Cargo Handling (0.09%)
497,3643.0,Manufacturing,Current-Carrying Wiring Devices,#0072FF,3643.0,622.0,0.0008745744885778041,0.09,Current-Carrying Wiring Devices (0.09%)
999,9641.0,Public Administration,Regulation of Agricultural Marketing and Commodities,#CD7CA4,9641.0,612.0,0.0008605138054816979,0.09,Regulation of Agricultural Marketing and Commodities (0.09%)
949,8331.0,Services,Job Training and Vocational Rehabilitation Services,#FF0069,8331.0,610.0,0.0008577016688624767,0.09,Job Training and Vocational Rehabilitation Services (0.09%)
757,5944.0,Retail and wholesale trade,Jewelry Stores,#FF9BCD,5944.0,609.0,0.0008562956005528661,0.09,Jewelry Stores (0.09%)
