,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
376,3324.0,Manufacturing,Steel Investment Foundries,#0072FF,3324.0,1200.0,0.0009173533438676075,0.09,Steel Investment Foundries (0.09%)
116,2013.0,Manufacturing,Sausages and Other Prepared Meat Products,#0072FF,2013.0,1180.0,0.0009020641214698141,0.09,Sausages and Other Prepared Meat Products (0.09%)
576,4111.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Local and Suburban Transit,#C3FF00,4111.0,1167.0,0.0008921261269112484,0.09,Local and Suburban Transit (0.09%)
691,5146.0,Retail and wholesale trade,Fish and Seafoods,#FF9BCD,5146.0,1157.0,0.0008844815157123516,0.09,Fish and Seafoods (0.09%)
956,8621.0,Services,Professional Membership Organizations,#FF0069,8621.0,1115.0,0.0008523741486769854,0.09,Professional Membership Organizations (0.09%)
994,9531.0,Public Administration,Administration of Housing Programs,#CD7CA4,9531.0,1102.0,0.0008424361541184196,0.08,Administration of Housing Programs (0.08%)
786,6099.0,"Finance, Insurance, And Real Estate","Functions Related to Depository Banking, Not Elsewhere Classified",#FFFF00,6099.0,1089.0,0.0008324981595598538,0.08,"Functions Related to Depository Banking, Not Elsewhere Classified (0.08%)"
302,2869.0,Manufacturing,"Industrial Organic Chemicals, Not Elsewhere Classified",#0072FF,2869.0,1089.0,0.0008324981595598538,0.08,"Industrial Organic Chemicals, Not Elsewhere Classified (0.08%)"
949,8331.0,Services,Job Training and Vocational Rehabilitation Services,#FF0069,8331.0,1081.0,0.0008263824706007365,0.08,Job Training and Vocational Rehabilitation Services (0.08%)
765,5963.0,Retail and wholesale trade,Direct Selling Establishments,#FF9BCD,5963.0,1062.0,0.0008118577093228327,0.08,Direct Selling Establishments (0.08%)
312,2911.0,Manufacturing,Petroleum Refining,#0072FF,2911.0,1044.0,0.0007980974091648186,0.08,Petroleum Refining (0.08%)
510,3674.0,Manufacturing,Semiconductors and Related Devices,#0072FF,3674.0,1033.0,0.0007896883368460322,0.08,Semiconductors and Related Devices (0.08%)
90,1522.0,Construction,"General Contractors-Residential Buildings, Other Than Single-Family",#696969,1522.0,1030.0,0.0007873949534863632,0.08,"General Contractors-Residential Buildings, Other Than Single-Family (0.08%)"
483,3599.0,Manufacturing,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified",#0072FF,3599.0,1028.0,0.0007858660312465839,0.08,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified (0.08%)"
113,1796.0,Construction,"Installation or Erection of Building Equipment, Not Elsewhere",#696969,1796.0,1007.0,0.0007698123477289007,0.08,"Installation or Erection of Building Equipment, Not Elsewhere (0.08%)"
619,4789.0,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation Services, Not Elsewhere Classified",#C3FF00,4789.0,981.0,0.0007499363586117692,0.07,"Transportation Services, Not Elsewhere Classified (0.07%)"
331,3089.0,Manufacturing,"Plastics Products, Not Elsewhere Classified",#0072FF,3089.0,974.0,0.0007445851307725414,0.07,"Plastics Products, Not Elsewhere Classified (0.07%)"
653,5045.0,Retail and wholesale trade,Computers and Computer Peripheral Equipment and Software,#FF9BCD,5045.0,971.0,0.0007422917474128724,0.07,Computers and Computer Peripheral Equipment and Software (0.07%)
860,7352.0,Services,Medical Equipment Rental and Leasing,#FF0069,7352.0,964.0,0.0007369405195736448,0.07,Medical Equipment Rental and Leasing (0.07%)
879,7513.0,Services,"Truck Rental and Leasing, Without Drivers",#FF0069,7513.0,950.0,0.0007262380638951893,0.07,"Truck Rental and Leasing, Without Drivers (0.07%)"
910,7929.0,Services,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",#FF0069,7929.0,925.0,0.0007071265358979475,0.07,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups (0.07%)"
539,3812.0,Manufacturing,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments",#0072FF,3812.0,908.0,0.000694130696859823,0.07,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments (0.07%)"
925,8043.0,Services,Offices and Clinics of Podiatrists,#FF0069,8043.0,907.0,0.0006933662357399334,0.07,Offices and Clinics of Podiatrists (0.07%)
